Date,HFRI EQUITY HEDGE (TOTAL) - TOT RETURN IND,HFRI FUND OF FUNDS COMPOSITE - TOT RETURN IND,HFRI FUND WEIGHTED HEDGE FUND - TOT RETURN IND,MSCI EM - TOT RETURN IND,MSCI EAFE - TOT RETURN IND,RUSSELL 2000 - PRICE INDEX,S&P 500 COMPOSITE - TOT RETURN IND,BARCLAYS US TREASURY BELLWETHERS 2Y - TOTAL RETURN MTD,BARCLAYS US TREASURY BELLWETHERS 10Y - TOTAL RETURN MTD,Barclay Currency Traders Index - TOT RETURN IND
1998-03-31,0.045,0.04,0.03,0.047,0.051,0.041,0.051,0.004,0.001,0.031
1998-04-30,0.014,0.009,0.01,-0.008,-0.007,0.005,0.01,0.005,0.004,-0.012
1998-05-29,-0.013,-0.009,-0.021,-0.119,0.009,-0.054,-0.017,0.005,0.011,0.029
1998-06-30,0.005,-0.006,-0.001,-0.075,0.011,0.002,0.041,0.005,0.013,0.013
1998-07-31,-0.007,-0.002,-0.008,0.031,0.016,-0.082,-0.011,0.005,0,-0.001
1998-08-31,-0.077,-0.075,-0.087,-0.266,-0.135,-0.195,-0.145,0.014,0.039,0.003
1998-09-30,0.032,-0.026,0.007,0.061,-0.066,0.076,0.064,0.014,0.051,0.008
1998-10-30,0.025,-0.02,0.012,0.081,0.063,0.04,0.081,0.005,-0.01,0.031
1998-11-30,0.038,0.014,0.037,0.081,0.079,0.052,0.061,-0.003,-0.017,-0.012
1998-12-31,0.054,0.016,0.028,-0.014,0.013,0.061,0.058,0.003,-0.017,-0.01
1999-01-29,0.05,0.014,0.022,0.049,0.022,0.012,0.042,0.002,-0.017,0.003
1999-02-26,-0.024,-0.002,-0.013,0.022,0.003,-0.082,-0.031,-0.006,-0.043,0.023
1999-03-31,0.04,0.021,0.031,0.111,0.047,0.014,0.04,0.007,0.007,0.01
1999-04-30,0.053,0.033,0.045,0.112,0.052,0.088,0.039,0.002,-0.004,0.019
1999-05-31,0.012,0.008,0.007,0.007,-0.039,0.014,-0.024,-0.002,-0.021,-0.007
1999-06-30,0.038,0.028,0.036,0.103,0.046,0.043,0.055,0.003,-0.009,-0.01
1999-07-30,0.006,0.007,0.005,-0.019,-0.007,-0.028,-0.031,0.003,-0.003,-0.013
1999-08-31,0,0.001,0,0.016,0.001,-0.038,-0.005,0.003,-0.005,0.011
1999-09-30,0.003,-0.001,0.002,-0.024,-0.007,-0.001,-0.027,0.007,0.011,-0.001
1999-10-29,0.023,0.013,0.016,0.022,0.039,0.003,0.063,0.001,-0.004,-0.014
1999-11-30,0.068,0.049,0.051,0.089,0.055,0.059,0.02,0.001,-0.006,0.018
1999-12-31,0.109,0.068,0.076,0.114,0.089,0.112,0.059,0.001,-0.014,-0.006
2000-01-31,0.003,0.015,0.006,0.008,-0.04,-0.017,-0.05,-0.001,-0.01,0.002
2000-02-29,0.1,0.052,0.062,0.013,0.048,0.164,-0.019,0.006,0.014,-0.001
2000-03-31,0.017,0.002,0.009,0.002,0.02,-0.067,0.098,0.006,0.035,-0.01
2000-04-28,-0.042,-0.034,-0.028,-0.078,-0.013,-0.061,-0.03,0.001,-0.01,0.002
2000-05-31,-0.024,-0.016,-0.02,-0.029,-0.023,-0.059,-0.021,0.005,0.001,0.001
2000-06-30,0.048,0.028,0.037,0.031,0.014,0.086,0.025,0.011,0.024,-0.009
2000-07-31,-0.016,-0.002,-0.006,-0.049,-0.014,-0.032,-0.016,0.006,0.005,-0.005
2000-08-31,0.054,0.02,0.038,0.008,0.028,0.074,0.062,0.007,0.016,0.005
2000-09-29,-0.011,-0.012,-0.012,-0.076,-0.043,-0.031,-0.053,0.008,-0.001,0.001
2000-10-31,-0.02,-0.01,-0.018,-0.051,0.002,-0.045,-0.004,0.006,0.008,0.016
2000-11-30,-0.043,-0.015,-0.035,-0.078,-0.041,-0.104,-0.079,0.01,0.027,0
2000-12-29,0.032,0.014,0.021,0.019,-0.006,0.084,0.005,0.012,0.029,0.042
2001-01-31,0.029,0.019,0.034,0.138,0.014,0.051,0.035,0.013,0.002,0.006
2001-02-28,-0.026,-0.007,-0.022,-0.068,-0.063,-0.067,-0.091,0.006,0.013,-0.001
2001-03-30,-0.023,-0.004,-0.016,-0.078,-0.029,-0.05,-0.063,0.007,0.003,0.04
2001-04-30,0.023,0.007,0.02,0.047,0.063,0.077,0.078,0.002,-0.026,-0.01
2001-05-31,0.009,0.009,0.012,0.023,-0.022,0.023,0.007,0.006,-0.001,0.008
2001-06-29,-0.003,-0.001,0.003,-0.017,-0.026,0.033,-0.024,0.002,0.005,-0.005
2001-07-31,-0.011,-0.004,-0.008,-0.053,-0.036,-0.055,-0.01,0.012,0.032,-0.021
