Date,Market,Risk Free,Small,Big,High B/M,Low B/M,Winner,Loser
,Mkt,Rf,S,B,H,L,U,D
193605,5.03,0.02,6.25,5.48,7.59,5.04,6.94,4.12
193606,2.6,0.03,-0.95,2.1,-0.23,0.65,1.59,1.04
193607,6.46,0.01,9.16,7.91,10.09,8.28,8.33,4.98
193608,1.08,0.02,1.95,2,3.95,0.36,1.28,0.71
193609,1.43,0.01,4.25,0.99,2.33,3.05,3.42,2.54
193610,6.91,0.02,5.65,7.91,7.14,5.3,6.85,5.43
193611,3.33,0.01,10.43,2.29,5.82,7.64,7.48,5.37
193612,0.21,0,3.71,0.52,4.94,-0.64,3.06,0.89
193701,3.25,0.01,8.42,3.81,8.86,5.27,5.43,6.94
193702,1.3,0.02,3.45,3.23,7.03,1.53,4.46,1.05
193703,-0.35,0.01,-0.84,1.47,4.05,-2.72,1.11,-1.28
193704,-7.42,0.03,-11.4,-8.01,-12.68,-7.72,-11.96,-8.47
193705,-0.86,0.06,-1.92,-1.16,-3.41,0.17,-1.52,-2.08
193706,-4.16,0.03,-8.03,-4.73,-8.54,-5.42,-5.85,-7.13
193707,8.89,0.03,10.68,8.7,10.16,10.13,10.37,10.71
193708,-4.86,0.02,-5.23,-5.3,-6.55,-4.21,-6.31,-4.76
193709,-13.54,0.04,-21.52,-14.66,-21.11,-16.54,-22.43,-15.54
193710,-9.47,0.02,-10.58,-10.9,-12.62,-10.86,-10.71,-9.44
193711,-8.37,0.02,-11.84,-8.44,-10.28,-10.47,-8.89,-9.08
193712,-4.01,0,-12.55,-4.56,-9.95,-8.62,-6.69,-10.69
193801,0.76,0,5.8,-0.11,1.87,3.84,2.41,3.23
193802,5.79,0,5.93,5.9,5.42,7.02,4.54,7.54
193803,-23.71,-0.01,-29.76,-25.86,-31.28,-26.78,-21.49,-37.56
193804,14.56,0.01,21.04,14.33,17.71,17.76,15.03,24.09
193805,-3.92,0,-6.99,-4.5,-6.18,-5.38,-3.14,-9.85
193806,23.61,0,29.77,25.91,30.31,28.21,18.13,42.38
193807,7.19,-0.01,14.5,7.74,11.63,11.07,8.45,13.73
193808,-2.72,0,-6.35,-3.98,-7.21,-3,-3.05,-6.65
193809,0.86,0.02,-2.76,0.37,-1.79,-0.93,-0.04,-2.39
193810,7.78,0.01,16,9.28,15.35,11.13,10.32,18.06
193811,-1.83,-0.06,-4.39,-2.03,-4.03,-3.22,-2.12,-5.6
193812,4.1,0,3.51,5.51,5.34,4.28,4.69,2.92
193901,-5.96,-0.01,-8.79,-7.41,-10.1,-6.57,-8.17,-5.09
193902,3.49,0.01,4.72,4.43,6.36,3.13,5.98,2.68
193903,-11.92,-0.01,-20.13,-14.74,-22.03,-14.07,-16.8,-15.33
193904,-0.23,0,0.89,-1.21,0.06,-0.25,1.89,-1.09
193905,6.87,0.01,10.94,7.12,9.63,9.95,9.86,5.89
193906,-5.28,0.01,-8.98,-7.13,-10.95,-5.91,-6.75,-8.26
193907,10.18,0,15.99,11.05,14.19,14.39,12.81,13.17
193908,-6.61,-0.01,-12.32,-7.69,-11.75,-9.32,-7.31,-12.96
193909,15.96,0.01,41.21,23.45,45.94,23.52,16.63,47.19
193910,-0.38,0,-1.46,-1.6,-4.05,0.33,2.25,-4.31
193911,-3.68,0,-9.49,-5.34,-11.29,-4.82,-6.22,-6.16
193912,3.03,0,3.25,2.41,0.93,5.19,4.89,-0.25
194001,-2.4,0,-2.53,-3.18,-3.41,-2.83,-1.3,-2.86
194002,1.37,0,3.73,1.39,2.14,2.84,2.86,1.12
194003,1.89,0,3.97,2.06,2.63,4.12,2.2,2.37
194004,0.12,0,3.71,0.25,2.28,2.34,2.93,-0.42
194005,-22.03,-0.02,-28.55,-22.42,-28.04,-24.31,-24.63,-27.64
194006,6.67,0,5.9,7.87,9.04,4.96,4.58,6.94
194007,3.22,0.01,3.97,3.45,3.42,3.97,4.22,3.62
194008,2.4,-0.01,2.8,2.34,2.73,2.48,1.9,3.77
194009,2.3,0,5.35,1.9,3.01,5.07,3.42,3.72
194010,2.97,0,4.65,5.28,7.22,1.54,2.34,8.3
194011,-1.63,0,0.7,-1.42,-0.26,-0.76,0.51,-1.07
194012,0.68,0,-1.6,0.89,-1.25,-0.04,1.22,-2.1
194101,-4.05,-0.01,-2.51,-3.5,-1.06,-4.72,-4.26,0.57
194102,-1.48,-0.01,-2.72,-1.08,-1.72,-2.45,-1.7,-2.53
194103,0.96,0.01,1.87,1.57,3.61,0.2,2.13,0.03
194104,-5.31,-0.01,-5.87,-4.05,-3.29,-6.77,-4.56,-7.56
194105,1.39,0,1.13,2.15,1.81,1,2.26,-0.49
194106,5.87,0,6.39,4.99,5.9,5.41,6.07,6.74
194107,5.95,0.03,13.25,7.4,14.27,7.36,10.13,12.56
194108,-0.05,0.01,-0.99,-0.59,-1.12,-0.11,-0.52,-0.79
194109,-0.75,0.01,-2.71,-1.2,-2.06,-2.14,-2.14,-0.5
194110,-5.18,0,-6.06,-3.66,-4.08,-5.82,-2.18,-7.51
194111,-1.94,0,-2.26,-1.43,-2.25,-1.24,0.01,-3.91
194112,-4.67,0.01,-9.25,-6.04,-10.75,-5.76,-8.31,-8.65
194201,0.72,0.02,10.81,3.2,12.52,2.58,5.43,9.16
194202,-2.41,0.01,-0.84,-2.36,-1.77,-0.73,-2.27,-1.41
194203,-6.57,0.01,-4.16,-6.46,-5.88,-4.63,-5.5,-4.9
194204,-4.31,0.01,-4.58,-3.88,-3.54,-5.59,-4.91,-4.36
194205,6.1,0.03,1.04,4.31,0.78,3.7,0.72,5.54
194206,2.55,0.02,1.65,2.62,2.23,2.13,1.4,2.92
194207,3.49,0.03,4.57,4.89,6.16,3.69,4.24,3.38
194208,1.87,0.03,2.38,2.89,3.48,1.78,2.34,2.47
194209,2.63,0.03,3.59,3.25,5.54,1.84,3.62,3.71
194210,6.77,0.03,9.97,8.55,13.19,6.54,7.54,11.18
194211,0.25,0.03,-2.29,-1.54,-5.01,0.18,-1.38,-0.31
194212,5.04,0.03,3.21,5.22,4.32,3.44,5.43,2.11
194301,7.33,0.03,16.05,8.05,16.38,8.94,12.59,12.94
194302,5.99,0.03,12.46,8.09,14.37,8.19,8.07,9.96
194303,6.21,0.03,12.35,7.5,12.75,7.25,12.43,7.95
194304,0.69,0.03,3.37,1.58,6.02,-0.62,6.52,0.05
194305,5.72,0.03,10,5.93,9.49,6.57,10.91,5.61
194306,1.69,0.03,0.42,1.12,0.1,0.87,0.35,1.77
194307,-4.62,0.03,-7.25,-4.59,-7.4,-4.87,-8.93,-4.28
194308,1.3,0.03,0.29,1.09,0.21,1.02,0.57,0.05
194309,2.45,0.03,3.93,2.56,4.18,2.92,3.96,2.03
194310,-1.22,0.03,0.12,-0.71,0.48,-0.87,-0.1,0.03
194311,-5.85,0.03,-8.36,-6.9,-10.19,-5.51,-11.22,-6.45
194312,6.36,0.03,9.94,6.65,9.59,6.54,13.22,7.02
194401,1.81,0.03,4.63,2.51,5.12,2.95,3.75,3.09
194402,0.37,0.03,1.31,1.16,2.13,0.64,0.91,0.51
194403,2.44,0.02,4.46,2.61,5.03,2.2,5.55,2.75
194404,-1.63,0.03,-2.76,-1.63,-2.51,-1.8,-2.24,-2.72
194405,5.1,0.03,6.62,5.25,6.54,5.33,6.93,4.9
194406,5.62,0.03,9.84,5.87,9.33,7.09,6.39,11.51
194407,-1.52,0.03,-0.55,-1.31,-1.04,-0.38,-1.22,-1.34
194408,1.59,0.03,3.36,1.2,1.46,2.94,5.6,0.98
194409,0.02,0.02,0.51,0.03,-0.15,1.05,-0.87,0.53
194410,0.25,0.03,0.11,0.33,-0.12,0.06,-1.03,0.3
194411,1.65,0.03,2.47,1.98,2.84,1.18,3.03,1.56
194412,4.12,0.02,7.54,6.03,10.63,4.16,8.83,5.56
194501,1.92,0.03,4.98,1.98,3.64,3.03,3.46,3.41
194502,6.43,0.02,8.72,7.19,10.27,5.93,9.8,6.81
194503,-3.87,0.02,-5.85,-3.87,-5.43,-4.02,-6.4,-3.35
194504,7.75,0.03,8.94,8.49,10.59,7.18,11.29,7.04
194505,1.86,0.03,2.9,1.63,3.36,2.35,2.58,2.55
194506,0.34,0.02,4.16,1.17,5.38,1.09,5.53,1.5
194507,-2.21,0.03,-4.22,-2.57,-4.89,-2.41,-4.85,-2.43
194508,6.11,0.03,6.73,5.11,3.83,7.98,4.5,6.43
194509,4.81,0.03,6.77,4.86,6.32,5.9,6.61,5.26
194510,3.9,0.03,6.8,4.26,6.21,4.47,5.53,5.45
194511,5.45,0.02,10.03,6.01,10.38,6,10.76,6.52
194512,1.18,0.03,3.28,0.63,0.77,2.72,3.53,2.11
194601,6.33,0.03,10.12,6.23,9.68,8,10.18,6.11
194602,-5.79,0.03,-6.81,-6,-7.35,-6.11,-7.17,-5.38
194603,5.87,0.03,6.2,5.85,5.49,6.23,7.46,5
194604,4.29,0.03,6.07,3.74,4.24,4.44,6.29,3.73
194605,3.99,0.03,5.74,4.43,6.58,4.68,4.25,4.85
194606,-3.91,0.03,-5.21,-3.77,-4.83,-4.73,-5.59,-3.25
194607,-2.55,0.03,-4.46,-2.45,-3.69,-3.75,-3.58,-3.49
194608,-6.39,0.03,-8.04,-6.31,-7.02,-7.31,-7.6,-7.45
194609,-10.02,0.03,-14.38,-9.85,-13.81,-11.52,-12.35,-13.45
194610,-1.42,0.03,-1.26,-1.27,0.47,-2.99,-1.24,-1.93
194611,0.12,0.03,-0.29,0.06,0.56,-0.91,-0.99,-1.08
194612,5.09,0.03,4.9,4.81,4.39,5.37,5.26,5.02
194701,1.51,0.03,3.18,1.47,2.54,3.38,0.62,6.79
194702,-1.16,0.03,-0.59,-1.12,-1,-0.81,-0.81,-0.24
194703,-1.71,0.03,-3.01,-1.42,-1.83,-2.46,-0.92,-4.98
194704,-4.79,0.03,-8.41,-4.29,-6.27,-6.78,-5.32,-10.13
194705,-1,0.03,-4.32,-1,-3,-2.82,-1.74,-5.05
194706,5.37,0.03,4.82,5.11,4.81,5.05,3.94,5.72
194707,4.12,0.03,6.43,4.78,7.38,4.38,4.55,7.72
194708,-1.75,0.03,-1.54,-1.84,-1.74,-1.85,-0.25,-3.76
194709,-0.44,0.06,1.08,-0.48,1.29,-0.2,0.43,0.48
194710,2.46,0.06,3.24,2.73,3.11,2.78,3.68,2.32
194711,-1.83,0.06,-3.44,-1.74,-2.15,-3.32,-0.94,-5.31
194712,3.02,0.08,1.58,3.86,4.55,1.06,3.97,0.4
