Date,HFRI EQUITY HEDGE (TOTAL) - TOT RETURN IND,HFRI FUND OF FUNDS COMPOSITE - TOT RETURN IND,HFRI FUND WEIGHTED HEDGE FUND - TOT RETURN IND,MSCI EM - TOT RETURN IND,MSCI EAFE - TOT RETURN IND,RUSSELL 2000 - PRICE INDEX,S&P 500 COMPOSITE - TOT RETURN IND,BARCLAYS US TREASURY BELLWETHERS 2Y - TOTAL RETURN MTD,BARCLAYS US TREASURY BELLWETHERS 10Y - TOTAL RETURN MTD,Barclay Currency Traders Index - TOT RETURN IND
10/31/01,0.019,0.009,0.02,0.065,0.039,0.058,0.019,0.01,0.028,-0.009
11/30/01,0.02,0.004,0.021,0.101,0.045,0.076,0.077,-0.004,-0.032,-0.012
12/31/01,0.02,0.011,0.017,0.095,0.017,0.06,0.009,0,-0.018,0.03
1/31/02,0.002,0.005,0.004,0.04,-0.027,-0.011,-0.015,0.002,0.005,-0.001
2/28/02,-0.009,-0.003,-0.007,0.019,0.004,-0.028,-0.019,0.005,0.011,-0.019
3/29/02,0.02,0.008,0.019,0.056,0.045,0.079,0.038,-0.009,-0.037,-0.023
4/30/02,0.002,0.006,0.003,-0.002,-0.021,0.008,-0.061,0.013,0.03,0
5/31/02,0,0.004,0,-0.029,-0.014,-0.045,-0.007,0.004,0.008,0.046
6/28/02,-0.026,-0.009,-0.019,-0.064,-0.079,-0.051,-0.071,0.01,0.021,0.064
7/31/02,-0.039,-0.013,-0.029,-0.065,-0.101,-0.152,-0.078,0.015,0.032,-0.007
8/30/02,0.003,0.003,0.005,0.013,-0.002,-0.004,0.007,0.004,0.03,-0.013
9/30/02,-0.02,-0.004,-0.015,-0.082,-0.109,-0.073,-0.109,0.01,0.047,-0.003
10/31/02,0.006,-0.002,0.006,0.048,0.055,0.031,0.088,0.002,-0.021,-0.007
11/29/02,0.027,0.008,0.021,0.053,0.045,0.088,0.059,-0.005,-0.021,-0.005
12/31/02,-0.011,0.007,-0.002,-0.047,-0.072,-0.057,-0.059,0.011,0.036,0.034
1/31/03,0,0.008,0.007,-0.006,-0.055,-0.029,-0.026,0,-0.008,0.019
2/28/03,-0.008,0.003,0,-0.028,-0.018,-0.031,-0.015,0.006,0.026,-0.002
3/31/03,-0.001,0,0.001,-0.029,-0.023,0.011,0.01,0.002,-0.007,0
4/30/03,0.024,0.012,0.026,0.05,0.086,0.094,0.082,0.002,0,0.019
