Date,HFRI EQUITY HEDGE (TOTAL) - TOT RETURN IND,HFRI FUND OF FUNDS COMPOSITE - TOT RETURN IND,HFRI FUND WEIGHTED HEDGE FUND - TOT RETURN IND,MSCI EM - TOT RETURN IND,MSCI EAFE - TOT RETURN IND,RUSSELL 2000 - PRICE INDEX,S&P 500 COMPOSITE - TOT RETURN IND,BARCLAYS US TREASURY BELLWETHERS 2Y - TOTAL RETURN MTD,BARCLAYS US TREASURY BELLWETHERS 10Y - TOTAL RETURN MTD,Barclay Currency Traders Index - TOT RETURN IND
4/30/03,2.40%,1.20%,2.60%,5.00%,8.60%,9.40%,8.20%,0.20%,0.00%,1.90%
5/30/03,4.10%,2.10%,3.60%,8.20%,2.90%,10.60%,5.30%,0.50%,4.60%,3.80%
6/30/03,1.50%,0.70%,1.30%,4.30%,3.50%,1.70%,1.30%,0.20%,-1.20%,-0.70%
7/31/03,2.40%,0.20%,1.30%,6.30%,4.30%,6.20%,1.80%,-0.70%,-7.10%,-2.70%
8/29/03,2.40%,0.80%,1.80%,6.70%,3.20%,4.50%,2.00%,0.00%,1.10%,-0.70%
9/30/03,0.80%,1.20%,1.20%,-1.10%,-2.10%,-2.00%,-1.10%,1.10%,4.60%,1.70%
10/31/03,3.10%,1.50%,2.40%,8.90%,5.20%,8.30%,5.70%,-0.50%,-2.50%,1.40%
11/28/03,1.10%,0.60%,1.10%,1.00%,0.30%,3.50%,0.90%,-0.10%,0.40%,1.10%
12/31/03,1.90%,1.50%,1.90%,6.90%,3.60%,1.90%,5.20%,0.70%,0.80%,3.40%
1/30/04,2.00%,1.60%,2.00%,3.80%,1.40%,4.30%,1.80%,0.30%,1.40%,1.30%
2/27/04,1.10%,1.10%,1.20%,3.80%,2.50%,0.80%,1.40%,0.60%,1.70%,0.40%
3/31/04,0.40%,0.50%,0.50%,-0.20%,0.10%,0.80%,-1.50%,0.30%,1.50%,-1.10%
4/30/04,-2.10%,-0.90%,-1.50%,-5.80%,1.40%,-5.20%,-1.60%,-1.10%,-4.80%,-1.60%
5/31/04,-0.20%,-0.90%,-0.30%,-2.30%,-1.30%,1.50%,1.40%,-0.20%,-0.70%,-1.20%
6/30/04,1.10%,0.20%,0.80%,-0.20%,2.50%,4.10%,1.90%,-0.10%,0.70%,-1.10%
7/30/04,-1.90%,-0.60%,-1.00%,-1.60%,-2.30%,-6.80%,-3.30%,0.40%,1.50%,-0.70%
8/31/04,-0.40%,0.00%,0.10%,4.60%,-0.10%,-0.60%,0.40%,0.80%,3.10%,-1.10%
9/30/04,2.00%,0.90%,1.60%,4.80%,1.50%,4.60%,1.10%,-0.10%,0.40%,0.20%
10/29/04,0.50%,0.80%,0.80%,0.70%,0.90%,1.90%,1.50%,0.40%,1.10%,2.00%
11/30/04,3.40%,2.50%,2.80%,5.20%,2.60%,8.60%,4.00%,-0.60%,-2.20%,4.10%
12/31/04,1.80%,1.50%,1.60%,3.10%,3.30%,2.80%,3.40%,0.20%,1.50%,1.20%
1/31/05,-0.60%,0.00%,-0.20%,1.10%,0.80%,-4.20%,-2.40%,-0.10%,1.00%,-2.70%
2/28/05,2.10%,1.40%,1.80%,7.10%,2.90%,1.60%,2.10%,-0.30%,-1.50%,0.00%
3/31/05,-1.10%,-0.60%,-0.90%,-4.70%,-0.30%,-3.00%,-1.80%,0.00%,-0.70%,-0.50%
4/29/05,-2.20%,-1.40%,-1.50%,-3.60%,-2.70%,-5.80%,-1.90%,0.60%,2.80%,-0.50%
5/31/05,1.60%,0.20%,1.00%,4.50%,4.20%,6.40%,3.20%,0.40%,1.70%,1.50%
6/30/05,2.00%,1.40%,1.60%,3.80%,3.40%,3.70%,0.10%,0.20%,0.80%,1.70%
7/29/05,2.90%,1.70%,2.30%,6.80%,3.70%,6.30%,3.70%,-0.40%,-2.30%,-0.10%
8/31/05,0.70%,0.80%,0.80%,1.40%,1.20%,-1.90%,-0.90%,0.70%,2.30%,-1.40%
9/30/05,2.30%,1.50%,1.90%,8.70%,6.20%,0.20%,0.80%,-0.30%,-2.10%,0.00%
10/31/05,-1.90%,-1.40%,-1.40%,-5.50%,-1.90%,-3.20%,-1.70%,0.00%,-1.40%,0.50%
11/30/05,2.10%,1.70%,1.70%,7.40%,4.50%,4.70%,3.80%,0.30%,0.50%,1.50%
12/30/05,2.30%,2.00%,1.80%,5.50%,4.50%,-0.60%,0.00%,0.40%,1.20%,-1.20%
1/31/06,4.00%,2.90%,3.50%,8.20%,3.50%,8.90%,2.60%,0.10%,-0.70%,-0.10%
2/28/06,0.00%,0.40%,0.50%,0.00%,0.90%,-0.30%,0.30%,0.10%,-0.20%,-0.70%
3/31/06,2.50%,1.70%,2.00%,1.40%,3.70%,4.70%,1.20%,0.10%,-2.00%,-0.50%
4/28/06,1.80%,1.80%,1.90%,5.30%,0.60%,-0.10%,1.30%,0.30%,-1.20%,0.60%
5/31/06,-2.30%,-1.90%,-1.60%,-7.80%,-5.70%,-5.70%,-2.90%,0.10%,-0.10%,0.30%
6/30/06,-0.50%,-0.60%,-0.20%,0.10%,1.10%,0.50%,0.10%,0.20%,0.30%,-0.90%
7/31/06,-0.50%,-0.20%,-0.20%,1.10%,0.70%,-3.30%,0.60%,0.80%,1.60%,-0.40%
8/31/06,1.00%,0.80%,1.00%,2.90%,2.90%,2.90%,2.40%,0.70%,2.20%,0.40%
9/29/06,0.20%,0.00%,0.20%,1.40%,1.40%,0.70%,2.60%,0.50%,1.20%,-0.90%
10/31/06,1.90%,1.70%,1.80%,3.50%,2.60%,5.70%,3.30%,0.40%,0.60%,-0.10%
11/30/06,2.00%,1.90%,2.10%,6.50%,0.10%,2.50%,1.90%,0.50%,1.40%,1.60%
12/29/06,1.30%,1.80%,1.50%,4.00%,4.30%,0.20%,1.40%,0.00%,-1.60%,0.50%
1/31/07,1.20%,1.30%,1.10%,-0.30%,1.90%,1.60%,1.50%,0.20%,-0.50%,0.50%
2/28/07,0.60%,0.80%,0.70%,-0.70%,-0.50%,-0.90%,-2.00%,0.90%,2.40%,-0.50%
3/30/07,1.00%,1.00%,1.00%,3.30%,2.00%,0.90%,1.10%,0.40%,-0.40%,-0.10%
4/30/07,1.90%,1.70%,1.80%,3.40%,3.00%,1.70%,4.40%,0.30%,0.50%,0.80%
